Datum;Tid (UTC);Lufttemperatur;Vindriktning;Vindhastighet
2022-11-09;18:00:00;-3.3;260;1.0
2022-11-09;19:00:00;-3.3;290;1.0
2022-11-09;20:00:00;-3.2;250;1.0
2022-11-09;21:00:00;-3.2;0;0.0
2022-11-09;22:00:00;-3.0;270;1.0
2022-11-09;23:00:00;-2.9;280;1.0
2022-11-10;00:00:00;-2.8;270;1.0
2022-11-10;01:00:00;-2.7;300;1.0
2022-11-10;02:00:00;-2.5;0;0.0
2022-11-10;03:00:00;-2.2;10;1.0
2022-11-10;04:00:00;-2.1;0;0.0
2022-11-10;05:00:00;-2.0;20;1.0
2022-11-10;06:00:00;-2.0;0;0.0
2022-11-10;07:00:00;-1.9;0;0.0
2022-11-10;08:00:00;-1.8;0;0.0
2022-11-10;09:00:00;-1.6;20;1.0
2022-11-10;10:00:00;-1.4;0;0.0
2022-11-10;11:00:00;-1.2;0;0.0
2022-11-10;12:00:00;-1.2;0;0.0
2022-11-10;13:00:00;-1.5;0;0.0
2022-11-10;14:00:00;-2.8;0;0.0
2022-11-10;15:00:00;-2.2;0;0.0
2022-11-10;16:00:00;-2.7;0;0.0
2022-11-10;17:00:00;-2.6;140;1.0
2022-11-10;18:00:00;-2.6;170;1.0
2022-11-10;19:00:00;-2.5;110;2.0
2022-11-10;20:00:00;-2.3;160;1.0
2022-11-10;21:00:00;-2.0;110;2.0
2022-11-10;22:00:00;-1.9;120;1.0
2022-11-10;23:00:00;-1.5;130;1.0
2022-11-11;00:00:00;-0.7;150;1.0
2022-11-11;01:00:00;-0.2;100;2.0
2022-11-11;02:00:00;0.4;100;1.0
2022-11-11;03:00:00;0.2;0;0.0
2022-11-11;04:00:00;1.2;110;1.0
2022-11-11;05:00:00;3.2;170;1.0
2022-11-11;06:00:00;3.3;110;1.0
2022-11-11;07:00:00;3.3;310;1.0
2022-11-11;08:00:00;4.0;270;2.0
2022-11-11;09:00:00;5.2;260;4.0
2022-11-11;10:00:00;6.6;260;5.0
2022-11-11;11:00:00;7.5;260;6.0
2022-11-11;12:00:00;8.0;270;5.0
2022-11-11;13:00:00;8.2;280;5.0
2022-11-11;14:00:00;6.9;260;4.0
2022-11-11;15:00:00;6.9;270;3.0
2022-11-11;16:00:00;5.2;270;2.0
2022-11-11;17:00:00;6.7;250;5.0
2022-11-11;18:00:00;6.0;280;2.0
2022-11-11;19:00:00;5.3;220;1.0
2022-11-11;20:00:00;6.3;230;4.0
2022-11-11;21:00:00;6.1;240;2.0
2022-11-11;22:00:00;6.2;270;2.0
2022-11-11;23:00:00;6.9;220;3.0
2022-11-12;00:00:00;6.6;240;3.0
2022-11-12;01:00:00;7.6;270;3.0
2022-11-12;02:00:00;7.6;260;5.0
2022-11-12;03:00:00;7.1;250;3.0
2022-11-12;04:00:00;6.0;250;3.0
2022-11-12;05:00:00;7.2;270;3.0
2022-11-12;06:00:00;7.6;250;5.0
2022-11-12;07:00:00;8.9;270;7.0
2022-11-12;08:00:00;9.4;280;8.0
2022-11-12;09:00:00;8.7;290;7.0
2022-11-12;10:00:00;8.5;290;7.0
2022-11-12;11:00:00;8.6;290;5.0
2022-11-12;12:00:00;8.7;290;6.0
2022-11-12;13:00:00;8.3;280;7.0
2022-11-12;14:00:00;8.0;310;5.0
2022-11-12;15:00:00;5.6;300;9.0
2022-11-12;16:00:00;5.4;290;3.0
2022-11-12;17:00:00;5.6;290;5.0
2022-11-12;18:00:00;5.2;280;4.0
2022-11-12;19:00:00;5.2;290;4.0
2022-11-12;20:00:00;4.6;290;3.0
2022-11-12;21:00:00;4.0;300;3.0
2022-11-12;22:00:00;3.5;280;2.0
2022-11-12;23:00:00;3.0;280;2.0
2022-11-13;00:00:00;1.0;270;2.0
2022-11-13;01:00:00;1.1;250;2.0
2022-11-13;02:00:00;0.3;260;1.0
2022-11-13;03:00:00;0.1;280;1.0
2022-11-13;04:00:00;0.8;290;2.0
2022-11-13;05:00:00;-0.1;270;2.0
2022-11-13;06:00:00;-0.8;260;1.0
2022-11-13;07:00:00;-1.9;270;1.0
2022-11-13;08:00:00;-1.9;0;0.0
2022-11-13;09:00:00;-1.1;290;1.0
2022-11-13;10:00:00;-0.8;250;1.0
2022-11-13;11:00:00;-0.2;260;1.0
2022-11-13;12:00:00;-0.6;0;0.0
2022-11-13;13:00:00;-1.9;210;1.0
2022-11-13;14:00:00;-2.9;0;0.0
2022-11-13;15:00:00;-3.5;0;0.0
2022-11-13;16:00:00;-3.8;0;0.0
2022-11-13;17:00:00;-4.0;0;0.0
2022-11-13;18:00:00;-4.3;0;0.0
2022-11-13;19:00:00;-4.6;0;0.0
2022-11-13;20:00:00;-4.8;0;0.0
2022-11-13;21:00:00;-4.9;0;0.0
2022-11-13;22:00:00;-4.4;0;0.0
2022-11-13;23:00:00;-4.5;310;1.0
2022-11-14;00:00:00;-4.4;0;0.0
2022-11-14;01:00:00;-4.9;0;0.0
2022-11-14;02:00:00;-4.8;0;0.0
2022-11-14;03:00:00;-5.4;0;0.0
2022-11-14;04:00:00;-5.6;240;1.0
2022-11-14;05:00:00;-6.6;280;1.0
2022-11-14;06:00:00;-7.2;260;1.0
2022-11-14;07:00:00;-7.4;250;1.0
2022-11-14;08:00:00;-7.0;280;1.0
2022-11-14;09:00:00;-5.6;350;1.0
2022-11-14;10:00:00;-4.9;290;1.0
2022-11-14;11:00:00;-3.6;0;0.0
2022-11-14;12:00:00;-3.8;270;1.0
2022-11-14;13:00:00;-4.2;290;1.0
2022-11-14;14:00:00;-5.3;250;2.0
2022-11-14;15:00:00;-5.2;290;1.0
2022-11-14;16:00:00;-5.8;280;2.0
2022-11-14;17:00:00;-5.8;300;1.0
2022-11-14;18:00:00;-5.4;280;2.0
2022-11-14;19:00:00;-5.2;290;2.0
2022-11-14;20:00:00;-4.9;280;2.0
2022-11-14;21:00:00;-4.8;290;2.0
2022-11-14;22:00:00;-4.2;280;3.0
2022-11-14;23:00:00;-4.3;280;2.0
2022-11-15;00:00:00;-4.15;280;2.0
2022-11-15;01:00:00;-4.0;280;2.0
2022-11-15;02:00:00;-3.8;280;2.0
2022-11-15;03:00:00;-4.1;260;2.0
2022-11-15;04:00:00;-3.6;270;2.0
2022-11-15;05:00:00;-3.6;290;2.0
2022-11-15;06:00:00;-3.7;290;2.0
2022-11-15;07:00:00;-4.1;280;2.0
2022-11-15;08:00:00;-4.0;290;2.0
2022-11-15;09:00:00;-3.5;290;2.0
2022-11-15;10:00:00;-2.9;270;2.0
2022-11-15;11:00:00;-2.5;280;2.0
2022-11-15;12:00:00;-2.8;280;2.0
2022-11-15;13:00:00;-3.3;270;2.0
2022-11-15;14:00:00;-4.0;260;1.0
2022-11-15;15:00:00;-4.1;280;1.0
2022-11-15;16:00:00;-4.3;270;2.0
2022-11-15;17:00:00;-5.4;270;2.0
2022-11-15;18:00:00;-6.3;260;1.0
2022-11-15;19:00:00;-7.6;270;1.0
2022-11-15;20:00:00;-8.1;320;1.0
2022-11-15;21:00:00;-8.4;270;1.0
2022-11-15;22:00:00;-7.5;280;2.0
2022-11-15;23:00:00;-7.9;270;1.0
